batch_id,fecha_monitoreo,variable,tipo,psi,ks,js,chi2_pvalue,metrica_principal,valor_principal,estado
1,2026-09-24T20:11:01,edad_cliente,numerica,0.0133149263525597,0.0241046193279747,0.0489521476829474,,psi,0.0133149263525597,estable
1,2026-09-24T20:11:01,capital_prestado,numerica,0.0083750371751523,0.0441347270615563,0.0388502667322288,,psi,0.0083750371751523,estable
1,2026-09-24T20:11:01,plazo_meses,numerica,0.057270824998554,0.0763495934959349,0.100808034638071,,psi,0.057270824998554,estable
1,2026-09-24T20:11:01,puntaje_datacredito,numerica,0.3281682393826157,0.225463896722909,0.2390963128153017,,psi,0.3281682393826157,drift
1,2026-09-24T20:11:01,huella_consulta,numerica,0.0092296140085382,0.0229535423925667,0.0407728448445596,,psi,0.0092296140085382,estable
1,2026-09-24T20:11:01,salario_cliente,numerica,0.4142828517795347,0.2421959830618753,0.2539297975708794,,psi,0.4142828517795347,drift
1,2026-09-24T20:11:01,total_otros_prestamos,numerica,0.0980373270329119,0.0730196292107415,0.1321025756794079,,psi,0.0980373270329119,estable
1,2026-09-24T20:11:01,cuota_pactada,numerica,0.009468672003391,0.0300104529616724,0.0413031611208741,,psi,0.009468672003391,estable
1,2026-09-24T20:11:01,cant_creditosvigentes,numerica,0.0182979904976974,0.0361881533101045,0.0573922530842025,,psi,0.0182979904976974,estable
1,2026-09-24T20:11:01,saldo_mora,numerica,0.0,0.0047613787747943,0.0,,psi,0.0,estable
1,2026-09-24T20:11:01,saldo_principal,numerica,0.0839305268819309,0.0744158507661464,0.1216594004882449,,psi,0.0839305268819309,estable
1,2026-09-24T20:11:01,promedio_ingresos_datacredito,numerica,0.2408212411896984,0.1252208511049456,0.2008477725049104,,psi,0.2408212411896984,alerta
1,2026-09-24T20:11:01,ratio_cuota_salario,numerica,0.0142251322593763,0.0296630507823749,0.0506208186023292,,psi,0.0142251322593763,estable
1,2026-09-24T20:11:01,tipo_laboral,categorica,0.0469250180839969,,0.0918930968671244,6.062631944715469e-11,js,0.0918930968671244,estable
1,2026-09-24T20:11:01,tipo_credito,categorica,1.6010098082013469,,0.401145000850768,0.0,js,0.401145000850768,drift
1,2026-09-24T20:11:01,tendencia_ingresos_limpia,categorica,0.0669862210047099,,0.1096163739538996,2.9815954008622296e-14,js,0.1096163739538996,estable
1,2026-09-24T20:11:01,prediccion,prediccion,0.0533852493000554,0.1078745644599303,0.097910322732447,,psi,0.0533852493000554,estable
2,2026-09-24T20:11:01,edad_cliente,numerica,0.0121257644828566,0.0311050551311261,0.0467356220363917,,psi,0.0121257644828566,estable
2,2026-09-24T20:11:01,capital_prestado,numerica,0.0066792174415014,0.0237015098722415,0.0346969579758138,,psi,0.0066792174415014,estable
2,2026-09-24T20:11:01,plazo_meses,numerica,0.0749693267104169,0.0697154471544715,0.1150708437321051,,psi,0.0749693267104169,estable
2,2026-09-24T20:11:01,puntaje_datacredito,numerica,0.4135989933976126,0.250561229124223,0.2664985016161334,,psi,0.4135989933976126,drift
2,2026-09-24T20:11:01,huella_consulta,numerica,0.0082188726164797,0.0382880371660859,0.0384898246262787,,psi,0.0082188726164797,estable
2,2026-09-24T20:11:01,salario_cliente,numerica,0.4785587039819074,0.260349018277538,0.2638936292554306,,psi,0.4785587039819074,drift
2,2026-09-24T20:11:01,total_otros_prestamos,numerica,0.0935566204230225,0.08879492354315,0.1286608397874682,,psi,0.0935566204230225,estable
2,2026-09-24T20:11:01,cuota_pactada,numerica,0.0082755089737025,0.0281939605110336,0.0386145903914837,,psi,0.0082755089737025,estable
2,2026-09-24T20:11:01,cant_creditosvigentes,numerica,0.0103402790971662,0.0369303135888501,0.0431627541926371,,psi,0.0103402790971662,estable
2,2026-09-24T20:11:01,saldo_mora,numerica,0.0,0.0031081185432887,0.0,,psi,0.0,estable
2,2026-09-24T20:11:01,saldo_principal,numerica,0.0875833957589678,0.0654204879127951,0.1237569735356503,,psi,0.0875833957589678,estable
2,2026-09-24T20:11:01,promedio_ingresos_datacredito,numerica,0.1712908256877203,0.1074125792027367,0.1725541526798669,,psi,0.1712908256877203,alerta
2,2026-09-24T20:11:01,ratio_cuota_salario,numerica,0.0113497232467559,0.0277383429873245,0.0452246636929562,,psi,0.0113497232467559,estable
2,2026-09-24T20:11:01,tipo_laboral,categorica,0.0045652347909383,,0.0286895902356107,0.0454589283558006,js,0.0286895902356107,estable
2,2026-09-24T20:11:01,tipo_credito,categorica,1.6291895768139628,,0.400164694390424,0.0,js,0.400164694390424,drift
2,2026-09-24T20:11:01,tendencia_ingresos_limpia,categorica,0.1196392776265387,,0.1462881972640161,3.2471826685883223e-25,js,0.1462881972640161,estable
2,2026-09-24T20:11:01,prediccion,prediccion,0.0883540209805595,0.1356713124274099,0.1258887757277609,,psi,0.0883540209805595,estable
3,2026-09-24T20:11:02,edad_cliente,numerica,0.0043252769601092,0.0233182027742082,0.0279220038878112,,psi,0.0043252769601092,estable
3,2026-09-24T20:11:02,capital_prestado,numerica,0.0111940551462641,0.0386039488966318,0.0448900641194562,,psi,0.0111940551462641,estable
